m,k,final_size,runtime,peak_before
10,5,7,0.0001971721649169922,25
10,10,302,0.06525659561157227,720
12,10,60,0.004663944244384766,112
12,15,276,0.12784266471862793,900
15,15,4991,101.79822874069214,25795
